Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,OperatingSystems,Browser,Region,TrafficType,Weekend,Revenue,Month.Aug,Month.Dec,Month.Feb,Month.Jul,Month.June,Month.Mar,Month.May,Month.Nov,Month.Oct,Month.Sep,VisitorType.New_Visitor,VisitorType.Returning_Visitor
1,42.5,0,0,67,2413.754403,0.006153846,0.01030303,0,0,2,2,6,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1
4,30.75,0,0,47,1477.394841,0.004166667,0.021527778,0,0,2,5,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1
10,1455.35,0,0,66,1646.612195,0.007142857,0.029065112,0,0,3,3,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,8,192.1666667,0,0.025,0,0,2,2,9,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,8,181,0.025,0.070833333,0,0,3,3,4,11,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,47.4,0,0,5,238.2,0,0.033333333,0,0,3,3,5,5,2,0,0,0,0,0,0,0,0,0,0,1,1,0
1,0,0,0,18,1489.083333,0.023529412,0.046470588,0,0,3,3,8,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,4,104,0,0.05,0,0,3,1,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2,104,1,136.5,12,977.5333333,0,0.015384615,0,0,3,3,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,18,356,0.011111111,0.038888889,0,0.2,4,3,3,11,1,0,0,0,0,0,0,0,1,0,0,0,0,1
5,248.8,4,116,26,595.3416667,0.026728111,0.023763441,10.17002765,0.2,4,3,1,5,1,0,0,0,0,0,0,0,1,0,0,0,0,1
6,192.5,0,0,113,3000.666667,0.003478261,0.005217391,0,0,3,3,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1
10,80.06666667,1,812,113,3282.583983,0.007377049,0.016691039,45.55270796,0,3,3,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,14,536,0,0.01025641,0,0,2,2,3,9,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,4,68,0,0.05,0,0,3,3,1,7,1,0,0,0,0,0,0,0,1,0,0,0,0,1
13,246.5333333,0,0,26,892,0,0.01127451,0,0,3,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1
7,84.66666667,2,60,110,5343.049577,0.00877193,0.029643028,0,0.8,2,2,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2,80.66666667,0,0,12,1071.611111,0.030769231,0.046666667,0,0,3,3,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,4,163,0.05,0.1,0,0,3,3,3,10,1,0,0,1,0,0,0,0,0,0,0,0,0,1
6,57,0,0,80,1982.884524,0.007594937,0.033499444,0,0,3,1,6,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1
2,36,0,0,15,168.8461538,0,0.011764706,0,0.4,2,2,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1
8,133.4,0,0,38,2666.066667,0.002272727,0.016576479,17.06291074,0,2,2,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,9,1626,0.022222222,0.077777778,0,0,3,3,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,68.6,1,29.2,97,4318.668082,0.002520046,0.013784185,0,0,3,4,2,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1
1,20,1,115,50,1404.459091,0.013,0.044,0,0,3,3,2,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1
2,115,0,0,97,1940.293452,0.01717251,0.032369194,0,0,2,2,3,9,2,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,10,902.6666667,0,0.03,0,0,3,3,3,12,2,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,10,183.6666667,0.04,0.08,0,0,2,2,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,3,0,0.2,0.2,0,0.2,4,3,1,5,1,0,0,0,0,0,0,0,1,0,0,0,0,1
3,55,2,4,2,19,0,0.033333333,0,0,2,2,8,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,0,0,1,0,0.2,0.2,0,0,4,3,7,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,57.5,0,0,10,677.5,0.047619048,0.070138889,0,0,4,3,2,11,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,1,0,0.2,0.2,0,0,3,4,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,12,697.1666667,0,0.016666667,0,0.6,3,4,2,7,1,0,0,0,0,0,0,0,1,0,0,0,0,1
7,164.5,0,0,73,3022.478571,0.002631579,0.026472431,4.25425,0,3,3,5,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1
3,23,0,0,30,465.4166667,0,0.009375,50.66498303,0,1,2,4,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,19,837.3666667,0.021052632,0.054586466,0,1,2,2,3,4,2,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,2,19,0,0.1,0,0,2,2,1,3,2,0,0,0,0,0,0,0,0,1,0,0,1,0
2,127,0,0,19,1431.666667,0,0.01,0,0.2,3,3,4,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1
3,36.5,0,0,11,496.25,0,0.026190476,0,0,3,3,1,8,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,70.6,0,0,23,2244.416667,0,0.009090909,0,0,3,3,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1
10,700.6333333,0,0,29,4897.845238,0,0.015740741,0.700155006,0,4,3,1,6,2,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,3,88.5,0,0.033333333,0,0,4,3,1,4,2,0,0,0,0,0,0,0,0,1,0,0,0,1
4,57.3,0,0,25,488.7166667,0.021428571,0.067517007,0,0,3,5,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1
15,104.6545455,1,148,48,1029.170303,0.001724138,0.022131145,16.96712066,0,3,3,6,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,7,55,0.057142857,0.114285714,0,0,3,3,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,6,243,0,0.033333333,0,0,3,4,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,20,2271,0,0.025,0,0,3,3,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1
7,97.33333333,2,447.5,16,967.625,0,0.012727273,0,0,2,2,8,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,1,255,15,1418.25,0,0.00625,0,0,3,3,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,29,2159.4,0.010344828,0.02183908,0,0,4,3,1,11,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1,13,0,0,52,1380.166667,0.007692308,0.023076923,21.10579025,0,3,3,3,4,2,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,11,572,0.036363636,0.072727273,0,0,2,2,4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,8,731,0,0.04375,0,0,3,4,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,8,245,0.1,0.120833333,0,0,3,4,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2,287.5,2,12.5,9,979,0.01025641,0.041025641,0,0,2,2,4,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1
5,109.8333333,1,37,24,1067.795238,0,0.008035714,64.46185714,0,2,2,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1
8,17.34848485,0,0,19,291.2589744,0,0.043589744,0,0,3,3,7,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1,34,2,9,3,149,0,0.05,0,0,3,3,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,5,42,0.04,0.08,0,0,3,3,2,11,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,18,103.8333333,0.033333333,0.055555556,0,0,3,3,3,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1
6,81.12,0,0,26,2134.103333,0,0.014583333,13.38353821,0,3,3,1,7,1,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,3,31.2,0.066666667,0.133333333,0,0,4,3,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1
4,63,0,0,5,95.5,0,0.025,0,0,4,3,1,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,0,0,5,200,0,0.05,0,0,4,3,1,5,2,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,13,70.4,0.138461538,0.143589744,0,0,3,3,2,11,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,228,1,267.5,23,1266.267677,0.002197802,0.037765568,0,0,3,3,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,6,93,0.066666667,0.083333333,0,0,1,3,3,11,1,0,0,0,0,0,0,0,0,1,0,0,0,1
2,96,0,0,5,122,0.028571429,0.05,0,0,2,2,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,15,325.5,0.02,0.058666667,0,0,3,3,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,7,0,0,151,2564.278157,0.00917226,0.0210895,0,0.6,2,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,11.42857143,2,146,20,1329.261905,0.010434783,0.01955353,20.79115942,0,3,3,4,5,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,21,1045,0,0.031746032,0,0,3,1,2,11,1,0,0,0,0,0,0,0,1,0,0,0,0,1
8,117.5,0,0,17,545.5,0,0.019047619,0,0,3,3,1,11,1,0,0,0,0,0,0,0,1,0,0,0,0,1
4,72,0,0,4,46.5,0.04,0.06,0,0,4,3,2,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,22,641.5166667,0.00952381,0.00952381,34.5222117,0,2,2,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,25,610.3095238,0,0.039,0,0,3,3,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,1,0,0.2,0.2,0,0,2,2,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1
1,19,0,0,4,296.9166667,0.04,0.04,0,0,4,3,1,7,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,154,0,0,18,367.25,0.005263158,0.044210526,0,0,4,3,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1
1,95,0,0,27,598.45,0,0.014814815,0,0,3,3,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1
2,96.75,0,0,103,3216.920172,0.012190476,0.030754266,0,0,3,3,6,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1
2,147,0,0,2,35,0,0.05,0,0,3,3,1,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,0,0,8,149,0.133333333,0.155555556,0,0.8,3,3,7,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1
3,50.06666667,0,0,159,2184.484938,0.001851852,0.005588342,0,0,3,3,4,5,2,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,4,33,0.05,0.1,0,0,3,1,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,20,438.3333333,0.02,0.04,0,0,3,3,7,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1
6,141.5,3,474.5,46,1431.333333,0.003703704,0.015432099,6.076734568,0,2,2,1,5,2,0,0,0,0,0,0,0,1,0,0,0,0,1
7,156,0,0,60,2126.461941,0.00808768,0.017066636,0,0,4,3,4,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,3,0,0.2,0.2,0,0,2,2,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,13,261.8,0.015384615,0.084615385,0,0,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,5,186.0666667,0.146666667,0.15952381,0,0,4,3,1,11,1,0,0,0,0,0,1,0,0,0,0,0,0,1
3,20.16666667,0,0,87,2467.2563489999998,1.89394e-4,0.019568765,11.6803149,0,1,3,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,7,150,0.057142857,0.085714286,0,0,3,3,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,8,561.5,0,0.05,0,0,3,4,7,12,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,17,85.66666667,0.023529412,0.080392157,0,0,3,3,6,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,4,67.75,0,0.05,0,0,3,3,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1
6,140.3333333,0,0,9,88.95,0,0.004761905,0,0,4,3,2,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0
3,25.08333333,0,0,25,304.5,0,0.007407407,0,0,3,3,3,11,1,0,0,0,0,0,0,0,1,0,0,0,0,1
12,311.4090909,0,0,96,4233.4807,0.006635802,0.027174712,3.541145833,0,3,4,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,8,203,0.0125,0.0375,0,0,3,3,5,3,2,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,1,0,0.2,0.2,0,0.6,3,3,5,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1
11,267.1666667,0,0,39,881.4416667,0.004166667,0.011458333,20.11751289,0,3,3,3,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0
4,91,0,0,2,22,0.033333333,0.022222222,0,0,2,2,1,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,16,885.75,0,0.025,0,0,3,3,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,77,1903.601743,0.003151515,0.029314358,0,0,2,2,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3,1528.25,2,91,60,1548.08631,0.006349206,0.025925926,22.92341151,0,2,2,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,71,1799.833333,0.016901408,0.047183099,0,0.6,3,4,8,7,1,0,0,0,0,0,0,0,1,0,0,0,0,1
4,75,2,312,98,1887.232143,0.002040816,0.025068027,0,0,3,3,8,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1
8,174.5,0,0,10,195.5,0,0.006060606,0,0,2,2,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1
9,181,4,302,22,382.4902597,0,0.009591837,0,0,3,3,5,3,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2,102,0,0,4,268,0,0.013333333,0,0,3,3,1,4,2,0,0,0,0,0,0,1,0,0,0,0,0,1
5,1023,0,0,46,4681.894444,0.008,0.024380952,0,0.8,3,3,7,11,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,39,0,0,18,314.8333333,0,0.005882353,0,0,3,3,7,5,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2,15,0,0,23,343.6666667,0.025,0.05,0,0.6,3,3,6,7,1,0,0,0,0,0,0,0,1,0,0,0,0,1
3,86.33333333,0,0,14,1256.333333,0,0.023076923,0,0,2,2,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,1,0,0.2,0.2,0,0,3,3,7,5,1,0,0,0,0,0,0,0,1,0,0,0,0,1
4,368.8333333,0,0,115,5016.351205,0.006837607,0.0220259,0,0.4,3,3,3,11,1,0,0,0,0,0,0,0,1,0,0,0,0,1
11,250.25,0,0,169,8276.292565,0.002406417,0.016051967,8.174728678,0,1,2,1,8,2,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,4,161.25,0,0.05,0,0,2,2,3,3,2,0,0,0,0,0,0,0,0,1,0,0,1,0
1,29.2,0,0,13,199.2844444,0,0,0,0,2,2,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,1
4,175.8666667,0,0,2,5,0,0.04,0,0,2,2,3,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0
4,352,0,0,17,229.3333333,0.011111111,0.031481481,0,0,2,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,12,262.9166667,0.008333333,0.055555556,0,0,2,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0.2,0.2,0,0,4,3,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,18,495,0.011111111,0.03,0,0.8,4,3,1,11,1,0,0,0,0,0,0,0,1,0,0,0,0,1
4,53.4,0,0,4,53.4,0,0.025,0,0,2,2,7,6,1,0,0,0,0,0,0,0,0,0,1,0,1,0
3,44,0,0,15,310.25,0.0125,0.0125,0,0,4,3,3,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,10,313.3333333,0.046969697,0.087878788,8.397818182,0,3,3,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,215.6,2,8,27,2968.9,0.021428571,0.036904762,0,0,4,3,6,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1
2,105.75,0,0,19,1124.888889,0.010526316,0.028229665,0,0,4,3,9,3,2,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,31,688.1666667,0,0.019354839,0,0,1,2,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,4,112,0,0.075,0,0.6,3,3,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,63,3301.222222,0.006451613,0.03016129,0,0,3,2,3,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1
8,125.6309524,6,75,312,13379.36658,0.002769231,0.014969192,8.055833998,0,3,3,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,1172,0,0,24,1244.066667,0.008,0.028,0,0,2,1,2,7,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,1,0,0.2,0.2,0,0,3,4,3,5,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2,102,0,0,16,502.8333333,0,0.004444444,0,0,4,3,4,3,2,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,2,76,0,0.05,0,0.6,4,3,3,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,11,399.6666667,0.054545455,0.072727273,0,0.8,3,3,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1
5,265.2916667,4,191.75,29,991.8270202,0.008823529,0.008921569,0,0,4,3,7,7,2,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,2,889.5,30,784.0833333,0.025,0.046875,0,0,3,3,6,11,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,9,1779.166667,12,1886.5,0.007017544,0.019298246,0,0.6,3,3,6,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1,6,0,0,15,762,0,0.014285714,0,0,1,1,9,12,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,62,1200.354444,0.003225806,0.023655914,0,0,3,3,4,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,32.75,1,11,43,2949.55,0.015909091,0.027164502,0,0.8,4,3,1,11,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,1,98,14,491.375,0,0.011904762,0,0,2,2,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,36,925.8333333,0.041666667,0.071296296,0,0.8,3,3,6,11,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,4,13,0.133333333,0.133333333,0,0.4,3,5,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1
4,72.5,0,0,28,1248.058333,0.0140625,0.024479167,0,0,3,1,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1
5,68.01428571,1,21.2,63,1033.206667,0,0.009068627,0,0,3,3,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,14,494,0,0.042857143,0,0,1,2,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1
4,45,0,0,21,819.8333333,0,0.002898551,0,0,4,3,1,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0
6,93.9,0,0,19,323.3740476,0.024242424,0.032223645,19.39995042,0,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,179,5996.025,0.010388889,0.038277778,0,0,3,3,8,5,2,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,10,421.6,0,0.011111111,0,0,2,2,1,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,38,3779.444444,0,0.02814992,0,0,4,3,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1
12,184.4173601,1,13,159,6137.14491,0.011276738,0.031489963,18.23386055,0,3,4,3,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1
9,183.7083333,1,17,80,1143.371078,0.002463054,0.019057903,12.45099015,0,2,2,3,4,2,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,19,688.6666667,0.042105263,0.052631579,0,0.4,3,3,6,5,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,28,690.9583333,0,0.022857143,0,0,3,3,6,3,2,0,0,0,0,0,0,0,0,1,0,0,0,1
4,47.25,0,0,2,24.25,0,0.04,0,0,3,3,1,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,4,69,0,0.05,0,0,2,2,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,1,0,0,0.2,0,0.2,3,3,6,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,48,3177.366667,0.008510638,0.044680851,0,0,3,3,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1
2,124.4,2,7,7,294.6,0,0.02,0,0,4,3,6,10,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,1,0,0.2,0.2,0,0,3,3,7,11,1,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,10,145.04,0,0.023333333,0,0,1,3,4,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,6,0,0,61,3545.19127,0.008954009,0.057518519,0,0.6,3,3,4,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,14,289.625,0,0.028571429,0,0,3,3,1,3,2,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0,0,0,9,771.5,0.022222222,0.044444444,0,0,2,2,6,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1
4,41,0,0,50,2428.35,0.020512821,0.041868132,9.442927064,0,3,5,3,4,2,0,0,0,0,0,0,0,0,1,0,0,0,1
2,43.73333333,0,0,19,158.9333333,0,0.003741497,0,0,2,2,6,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,0,0,18,535.3995238,0,0.02962963,0,0,2,2,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1
8,335.0636364,3,738.0833333,36,2228.707287,0.005853659,0.010086083,27.79149135,0,2,2,3,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0.2,0.2,0,0,2,2,3,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1,10,0,0,30,602.5,0.009677419,0.014910394,0,0,3,3,2,9,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,27.2,0,0,91,1596.412698,0.001098901,0.007912088,33.61787649,0,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1
5,505,0,0,85,2197.195238,0.015,0.029405769,13.77355814,0.8,3,3,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,4,25,0.05,0.1,0,0,4,3,3,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,9,269.7,0,0.033333333,0,0,4,3,3,9,1,0,0,1,0,0,0,0,0,0,0,0,1,0
11,383.3,2,256.3,189,15454.43857,0.007286432,0.019882747,0,0,3,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,3,60,0,0.066666667,0,0,3,3,7,3,2,0,0,0,0,0,0,0,1,0,0,0,0,1
1,95.5,0,0,7,381.5,0,0.025,0,0,2,2,3,3,2,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,1,0,0.2,0.2,0,0,3,3,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,2,0,0.2,0.2,0,0,3,4,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1
